Filename,position,segment,syllable,F1 (Hz),F2 (Hz),F3 (Hz),performer
41,off,a,2,930.2525402,1343.783332,2091.634585,LK
41,off,a,2,824.9218814,1394.498463,2512.576574,LK
41,off,i,2,583.1156522,2013.975212,2742.347208,LK
41,off,i,2,590.341473,2590.62296,2966.39457,LK
41,off,ɑ,2,907.5994039,1390.420985,2582.438214,LK
41,off,ɑ,2,855.9235829,1513.425945,2048.259956,LK
41,off,i,2,559.0207312,2390.9765,2681.663253,LK
41,off,i,2,562.1410801,1227.483676,2799.224492,LK
41,off,ɪ,2,563.0234891,1345.995073,2842.463374,LK
41,off,u,2,592.66508,1092.686471,2038.289617,LK
41,off,e,2,564.7710926,1338.016234,2230.74715,LK
41,off,u,2,519.1245733,966.575844,2257.613382,LK
41,off,a,2,843.0752744,1394.025888,1500.40658,LK
41,off,a,2,698.5050475,1628.240601,2496.930286,LK
69,off,e,2,492.8433201,1866.727361,2231.446741,LO
69,off,e,2,661.6558781,2043.460728,2502.308345,LO
69,off,a,2,1234.092106,1921.708557,2880.879003,LO
69,off,i,2,342.5647229,1987.983399,3135.727259,LO
77,off,ɪ,2,578.4412801,916.2798398,2204.392787,LO
77,off,ɪ,2,530.5231383,1222.175657,2463.09562,LO
77,off,ɪ,2,485.3982752,1416.591224,2132.024395,LO
77,off,e,2,608.0211603,747.6518162,2002.422292,LO
77,off,i,2,359.3035489,1615.046597,2092.28082,LO
77,off,ɪ,2,387.1742809,1126.819279,2342.992976,LO
77,off,a,2,681.8212029,1234.901396,1989.323547,LO
77,off,a,2,857.1181398,1363.6767,1923.660284,LO
77,off,e,2,614.0781098,1273.062612,2278.250845,LO
77,off,ɪ,2,456.1291188,2028.855168,2159.505462,LO
92,off,i,2,616.1750151,2409.217143,2727.973736,LK
92,off,ʊ,2,622.5848549,1040.42248,2493.182449,LK
92,off,ɪ,2,458.4076318,1163.703241,2871.000277,LK
92,off,a,2,811.435302,1346.492836,1609.022,LK
92,off,i,2,507.3851291,1325.386047,2621.252185,LK
92,off,i,2,430.6044967,1727.132,2754.108885,LK
92,off,i,2,551.7840681,1743.554303,2717.270813,LK
92,off,u,2,597.0070158,1182.473416,2517.382437,LK
92,off,i,2,577.2884735,1717.210579,2643.439474,LK
92,off,a,2,800.2421059,1446.833109,1924.761272,LK
92,off,a,2,826.2409605,1425.992918,2607.875796,LK
92,off,u,2,719.3129993,921.3525973,1857.563375,LK
94,off,u,2,559.086549,1097.589729,2333.155088,LK
94,off,eiː,2,599.5923329,1539.535559,2424.892736,LK
94,off,u,2,503.9349888,1048.043143,2412.794303,LK
94,off,ʊ,2,565.5533303,1085.429488,2159.085146,LK
94,off,u,2,524.2718554,1189.158664,2496.598904,LK
94,off,ɑ,2,891.103507,1207.228272,1786.838303,LK
94,off,i,2,537.2317087,2549.926753,2789.10696,LK
94,off,il,2,629.3009957,1533.554274,2584.441792,LK
94,off,ɑl,2,694.3817944,1517.585745,2050.440596,LK
94,off,ɑ,2,792.8790102,1367.330103,2264.479747,LK
94,off,a,2,915.1375331,1347.133957,2610.988662,LK
94,off,ɑl,2,703.5254533,1578.797898,2722.868426,LK
94,off,ɑ,2,932.7883582,1585.921985,2170.040853,LK
94,off,u,2,542.3866937,1329.671209,2033.46152,LK
94,off,u,2,533.3113911,1167.053727,2229.705836,LK
94,off,a,2,919.3925933,1319.594479,1793.809734,LK
94,off,e,2,539.4478332,1427.144763,2475.456464,LK
94,off,i,2,549.8182871,1170.936084,2771.075658,LK
94,off,ɪ,2,611.727969,1015.997889,2853.716153,LK
94,off,e,2,556.1995436,1371.030656,2314.696784,LK
94,off,i,2,548.7127536,1542.055545,2670.868553,LK
94,off,ɪ,2,476.365771,911.7645741,2690.635618,LK
